Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
test case,KM-91,10120,verify that user cannot use invalid zip code in address and billing nformation ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 1:34,11/22/2024 22:27,
test case,KM-90,10119,verify that user cannot use in valid city  in the address and billing information ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 1:33,11/22/2024 22:26,
test case,KM-89,10118,verify that user can't use invalid phone number in the address and billing information,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 1:31,11/22/2024 22:24,
test case,KM-88,10117,verify that user cannot enter invalid name of contact in the filled data in the address and billing,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 1:30,11/22/2024 22:23,
test case,KM-87,10116,verify that user can check out when fill all the required field with valid data,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 0:20,11/22/2024 22:20,
test case,KM-86,10115,verify that the shipping fee is added to the subtotal ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 0:15,11/22/2024 22:09,
test case,KM-85,10114,verify that user can use available coupon and it change the sub total ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 0:13,11/22/2024 22:05,
test case,KM-84,10113,verify that customer can proceed to the check out and verify his purchase ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 0:11,11/22/2024 22:00,
test case,KM-83,10112,verify that user can add or remove items from his wish list,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:46,11/22/2024 21:57,
test case,KM-82,10111,verify that user can  change the quantity of the items in the product page and in the cart ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:43,11/22/2024 21:53,
test case,KM-81,10110,"verify that user can navigate directly to buy a product from the product page ,without the other items in the cart",,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:40,11/22/2024 21:46,
test case,KM-80,10109,verify that the quantities and the prices of the items in the cart doesnot change ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:37,11/20/2024 1:40,
test case,KM-79,10108,verify that user can drop items from the cart from the cart icon ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:35,11/20/2024 1:36,
test case,KM-78,10107,verify that user can add items to his cart at its appear in the cart icon and any change appear  ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:34,11/20/2024 1:38,
test case,KM-77,10106,verify  that the user have a recommendation upon his purchases and wish list and search history and see a related items in the products page ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:32,11/20/2024 1:27,
test case,KM-76,10105,verify that user can sort the categorized items in the top seller page and search on the items ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:25,11/20/2024 0:48,
test case,KM-75,10104,verify that user can categorize the top rated products ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:24,11/20/2024 0:15,
test case,KM-74,10103,"verify that user can sort the resulted items by different sort method (z to a ,a to z .low to high or high to low price and latest )",,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:20,11/20/2024 0:04,
test case,KM-73,10102,verify that the best seller product in the filter function similar to the best seller products in the home page ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:16,11/19/2024 23:56,
test case,KM-72,10101,verify that the top rated product  in the filter function similar to the top rated products in the home page ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:15,11/19/2024 23:55,
test case,KM-71,10100,verify that customer can filter most favorite  product in specific category ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:12,11/19/2024 23:51,
test case,KM-70,10099,verify that customer can filter best seller product in specific category ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:07,11/19/2024 2:45,
test case,KM-69,10098,verify that customer can filter items in specific category by price range ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:06,11/19/2024 2:43,
test case,KM-68,10097,verify that the product the brand page provided by this brand  ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:04,11/19/2024 2:42,
test case,KM-67,10096,verify that the product in the categorized items in the right category,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/16/2024 23:03,11/19/2024 2:40,
